nohup: 忽略输入
✅ 检测到已有输出文件，尝试读取已处理结果：/home/cuhk/Documents/Test_lx/Find_Paper/ICRA2024_Title_标题_DOI_Abstract_摘要_关键词.csv
   已同步 0 条已处理结果到当前批次。

--- 待处理总行数: 1760 | 新任务数: 1760 ---
✔ 完成 [4/1760] | 设备: 其他 | 标题: Under pressure: learning-based analog gauge reading in the wild....
✔ 完成 [2/1760] | 设备: 无人机 | 标题: TinyMPC: Model-Predictive Control on Resource-Constrained Microcontrollers....
✔ 完成 [9/1760] | 设备: 其他 | 标题: Learning Continuous Control with Geometric Regularity from Robot Intrinsic Symme...
✔ 完成 [3/1760] | 设备: 其他 | 标题: A Movable Microfluidic Chip with Gap Effect for Manipulation of Oocytes....
✔ 完成 [10/1760] | 设备: 人形机器人 | 标题: Learning Vision-Based Bipedal Locomotion for Challenging Terrain....
✔ 完成 [5/1760] | 设备: 机械臂 | 标题: Efficient Composite Learning Robot Control Under Partial Interval Excitation....
✔ 完成 [7/1760] | 设备: 机器狗 | 标题: Resilient Legged Local Navigation: Learning to Traverse with Compromised Percept...
✔ 完成 [1/1760] | 设备: 无人机 | 标题: Generative Modeling of Residuals for Real-Time Risk-Sensitive Safety with Discre...
✔ 完成 [6/1760] | 设备: 其他 | 标题: MORALS: Analysis of High-Dimensional Robot Controllers via Topological Tools in ...
✔ 完成 [8/1760] | 设备: 机器狗 | 标题: VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation....
✔ 完成 [11/1760] | 设备: 无人小车 | 标题: NoMaD: Goal Masked Diffusion Policies for Navigation and Exploration....
✔ 完成 [13/1760] | 设备: 其他 | 标题: Distributionally Robust CVaR-Based Safety Filtering for Motion Planning in Uncer...
✔ 完成 [15/1760] | 设备: 其他 | 标题: Generating Sparse Probabilistic Graphs for Efficient Planning in Uncertain Envir...
✔ 完成 [12/1760] | 设备: 无人机/机器狗 | 标题: Distributionally Robust Chance Constrained Trajectory Optimization for Mobile Ro...
✔ 完成 [17/1760] | 设备: 无人机 | 标题: Research on bionic foldable wing for flapping wing micro air vehicle....
✔ 完成 [14/1760] | 设备: 其他 | 标题: Safe POMDP Online Planning via Shielding....
✔ 完成 [19/1760] | 设备: 其他 | 标题: Modular Growing Mechanism with Multi-axis Deformation....
✔ 完成 [16/1760] | 设备: 其他 | 标题: Johnsen-Rahbek Capstan Clutch: A High Torque Electrostatic Clutch....
✔ 完成 [18/1760] | 设备: 其他 | 标题: A scalable monolithic 3D printable variable stiffness mechanism....
✔ 完成 [22/1760] | 设备: 其他 | 标题: Flexible Omnidirectional Driving Gear Mechanism with Adaptation over Arbitrary C...
✔ 完成 [24/1760] | 设备: 其他 | 标题: Safety Verification of Closed-loop Control System with Anytime Perception....
✔ 完成 [21/1760] | 设备: 其他 | 标题: Design and Evaluation of a Reconfigurable 7-DOF Upper Limb Rehabilitation Exoske...
✔ 完成 [20/1760] | 设备: 其他 | 标题: Design and Experimental Characterisation of a Novel Quasi-Direct Drive Actuator ...
✔ 完成 [23/1760] | 设备: 机械臂 | 标题: Tactile Robot Programming: Transferring Task Constraints into Constraint-Based U...
✔ 完成 [25/1760] | 设备: 其他 | 标题: Unraveling the Single Tangent Space Fallacy: An Analysis and Clarification for A...
✔ 完成 [26/1760] | 设备: 其他 | 标题: Optimal Control Synthesis with Relaxed Global Temporal Logic Specifications for ...
✔ 完成 [29/1760] | 设备: 无人机 | 标题: VO-Safe Reinforcement Learning for Drone Navigation....
✔ 完成 [28/1760] | 设备: 无人机 | 标题: Phasic Diversity Optimization for Population-Based Reinforcement Learning....
✔ 完成 [27/1760] | 设备: 其他 | 标题: An Iterative Approach for Heterogeneous Multi-Agent Route Planning with Temporal...
✔ 完成 [33/1760] | 设备: 其他 | 标题: Stimulate the Potential of Robots via Competition....
✔ 完成 [30/1760] | 设备: 其他 | 标题: RoCo: Dialectic Multi-Robot Collaboration with Large Language Models....
✔ 完成 [36/1760] | 设备: 无人机 | 标题: Point Cloud-Based Control Barrier Function Regression for Safe and Efficient Vis...
✔ 完成 [31/1760] | 设备: 无人机 | 标题: Collision Avoidance and Navigation for a Quadrotor Swarm Using End-to-end Deep R...
✔ 完成 [35/1760] | 设备: 其他 | 标题: Efficient Gesture Recognition on Spiking Convolutional Networks Through Sensor F...
✔ 完成 [32/1760] | 设备: 其他 | 标题: Multi-Level Action Tree Rollout (MLAT-R): Efficient and Accurate Online Multiage...
✔ 完成 [37/1760] | 设备: 其他 | 标题: An Image Acquisition Scheme for Visual Odometry based on Image Bracketing and On...
✔ 完成 [34/1760] | 设备: 机器狗 | 标题: Multi-modal 3D Human Tracking for Robots in Complex Environment with Siamese Poi...
✔ 完成 [38/1760] | 设备: 其他 | 标题: MagicTac: A Novel High-Resolution 3D Multi-layer Grid-Based Tactile Sensor....
✔ 完成 [39/1760] | 设备: 无人小车 | 标题: Mobile Bot Rotation Using Sound Source Localization And Distant Speech Recogniti...
✔ 完成 [40/1760] | 设备: 其他 | 标题: Diving into the Depths of Spotting Text in Multi-Domain Noisy Scenes....
✔ 完成 [41/1760] | 设备: 其他 | 标题: Masked Local-Global Representation Learning for 3D Point Cloud Domain Adaptation...
✔ 完成 [42/1760] | 设备: 其他 | 标题: Continuous Adaptation in Person Re-identification for Robotic Assistance....
✔ 完成 [44/1760] | 设备: 其他 | 标题: LPS-Net: Lightweight Parameter-shared Network for Point Cloud-based Place Recogn...
✔ 完成 [45/1760] | 设备: 无人机 | 标题: Joint Response and Background Learning for UAV Visual Tracking....
✔ 完成 [47/1760] | 设备: 其他 | 标题: VERSE: Virtual-Gradient Aware Streaming Lifelong Learning with Anytime Inference...
✔ 完成 [43/1760] | 设备: 其他 | 标题: Incorporating Scene Graphs into Pre-trained Vision-Language Models for Multimoda...
✔ 完成 [49/1760] | 设备: 其他 | 标题: Adapting to the "Open World": The Utility of Hybrid Hierarchical Reinforcement L...
✔ 完成 [46/1760] | 设备: 其他 | 标题: ZS6D: Zero-shot 6D Object Pose Estimation using Vision Transformers....
✔ 完成 [51/1760] | 设备: 其他 | 标题: Lifelong Robot Learning with Human Assisted Language Planners....
✔ 完成 [48/1760] | 设备: 机械臂 | 标题: Experience Consistency Distillation Continual Reinforcement Learning for Robotic...
✔ 完成 [50/1760] | 设备: 其他 | 标题: Lifelong Robot Library Learning: Bootstrapping Composable and Generalizable Skil...
✔ 完成 [52/1760] | 设备: 其他 | 标题: Probabilistic Spiking Neural Network for Robotic Tactile Continual Learning....
✔ 完成 [53/1760] | 设备: 机械臂 | 标题: LOTUS: Continual Imitation Learning for Robot Manipulation Through Unsupervised ...
✔ 完成 [54/1760] | 设备: 无人机 | 标题: Synthesize Efficient Safety Certificates for Learning-Based Safe Control using M...
✔ 完成 [56/1760] | 设备: 人形机器人 | 标题: Adaptive Whole-body Robotic Tool-use Learning on Low-rigidity Plastic-made Human...
✔ 完成 [57/1760] | 设备: 机械臂 | 标题: Robotic Constrained Imitation Learning for the Peg Transfer Task in Fundamentals...
✔ 完成 [55/1760] | 设备: 其他 | 标题: GG-LLM: Geometrically Grounding Large Language Models for Zero-shot Human Activi...
✔ 完成 [58/1760] | 设备: 无人小车 | 标题: Mobile Robot Oriented Large-Scale Indoor Dataset for Dynamic Scene Understanding...
✔ 完成 [60/1760] | 设备: 无人小车 | 标题: Towards learning-based planning: The nuPlan benchmark for real-world autonomous ...
✔ 完成 [59/1760] | 设备: 机械臂 | 标题: InteRACT: Transformer Models for Human Intent Prediction Conditioned on Robot Ac...
✔ 完成 [61/1760] | 设备: 其他 | 标题: TBD Pedestrian Data Collection: Towards Rich, Portable, and Large-Scale Natural ...
✔ 完成 [63/1760] | 设备: 其他 | 标题: RH20T: A Comprehensive Robotic Dataset for Learning Diverse Skills in One-Shot....
✔ 完成 [66/1760] | 设备: 其他 | 标题: A Passively Bendable, Compliant Tactile Palm with RObotic Modular Endoskeleton O...
✔ 完成 [64/1760] | 设备: 其他 | 标题: Lightweight Untethered Soft Robotic Fish....
✔ 完成 [65/1760] | 设备: 其他 | 标题: A scalable, light-controlled, individually addressable, non-metal actuator array...
✔ 完成 [68/1760] | 设备: 其他 | 标题: Design and Fabrication of String-driven Origami Robots....
✔ 完成 [67/1760] | 设备: 机械臂 | 标题: A Phase-Change Emulsion Jamming Gripper for Manipulation of Micro-Scale Textured...
✔ 完成 [62/1760] | 设备: 其他 | 标题: RoboVQA: Multimodal Long-Horizon Reasoning for Robotics....
